Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales_stage1	Nmales_stage1	Nfemales_stage2	Nmales_stage2	NJuvFemales	NJuvMales
0	30	0	26	401	0	32	5	2	10	15	8	11
0	30	0	27	280	0	30	4	2	16	8	13	9
0	30	0	30	1919	0	161	18	14	61	68	73	70
0	30	0	32	154	0	0	0	0	0	0	0	0
0	31	0	0	0	0	0	0	0	0	0	0	0
0	31	0	24	1141	0	51	12	9	15	15	31	29
0	31	0	26	401	0	31	5	3	8	15	13	11
0	31	0	27	280	0	30	3	1	18	8	11	15
0	31	0	30	1919	0	152	14	13	58	67	70	73
0	31	0	32	154	0	0	0	0	0	0	0	0
0	32	0	0	0	0	0	0	0	0	0	0	0
0	32	0	24	1141	0	65	17	12	20	16	33	35
0	32	0	26	401	0	33	4	3	11	15	12	11
0	32	0	27	280	0	24	2	6	12	4	13	8
0	32	0	30	1919	0	156	18	17	55	66	59	52
0	32	0	32	154	0	0	0	0	0	0	0	0
0	33	0	0	0	0	0	0	0	0	0	0	0
0	33	0	20	361	0	2	1	1	0	0	0	0
0	33	0	23	145	0	1	0	1	0	0	0	0
0	33	0	24	1141	0	72	12	14	27	19	39	44
0	33	0	26	401	0	37	3	4	13	17	13	17
0	33	0	27	280	0	27	8	2	10	7	14	11
0	33	0	30	1919	0	165	23	14	58	70	65	48
0	33	0	32	154	0	0	0	0	0	0	0	0
0	34	0	0	0	0	0	0	0	0	0	0	0
0	34	0	20	361	0	2	0	0	1	1	4	2
0	34	0	23	145	0	1	0	1	0	0	0	0
0	34	0	24	1141	0	79	11	10	30	28	33	45
0	34	0	26	401	0	36	5	4	11	16	11	11
0	34	0	27	280	0	32	5	6	14	7	13	6
0	34	0	30	1919	0	152	16	15	62	59	77	69
0	34	0	32	154	0	0	0	0	0	0	0	0
0	35	0	0	0	0	0	0	0	0	0	0	0
0	35	0	20	361	0	5	2	1	1	1	4	4
0	35	0	23	145	0	1	0	0	0	1	0	0
0	35	0	24	1141	0	85	11	14	31	29	41	34
0	35	0	26	401	0	39	3	5	13	18	13	8
0	35	0	27	280	0	30	2	3	15	10	13	8
0	35	0	30	1919	0	173	19	27	66	61	86	61
0	35	0	32	154	0	0	0	0	0	0	0	0
0	36	0	0	0	0	0	0	0	0	0	0	0
0	36	0	20	361	0	9	3	3	2	1	2	7
0	36	0	23	145	0	1	1	0	0	0	0	0
0	36	0	24	1141	0	86	14	8	29	35	42	26
0	36	0	26	401	0	40	7	5	11	17	8	11
0	36	0	27	280	0	35	3	7	13	12	9	11
0	36	0	30	1919	0	176	21	24	69	62	62	75
0	36	0	32	154	0	0	0	0	0	0	0	0
0	37	0	0	0	0	0	0	0	0	0	0	0
0	37	0	20	361	0	13	1	4	5	3	10	7
0	37	0	23	145	0	3	2	1	0	0	0	0
0	37	0	24	1141	0	84	15	5	31	33	27	35
0	37	0	26	401	0	37	3	6	11	17	11	17
0	37	0	27	280	0	39	3	5	14	17	6	7
0	37	0	30	1919	0	180	20	35	65	60	69	68
0	37	0	32	154	0	0	0	0	0	0	0	0
0	38	0	0	0	0	0	0	0	0	0	0	0
0	38	0	20	361	0	17	4	3	4	6	6	5
0	38	0	17	137	0	1	0	1	0	0	0	0
0	38	0	23	145	0	4	0	2	1	1	2	0
0	38	0	24	1141	0	75	5	8	33	29	50	29
0	38	0	26	401	0	38	5	6	9	18	10	12
0	38	0	27	280	0	41	4	4	14	19	10	9
0	38	0	30	1919	0	171	13	21	65	72	65	72
0	38	0	32	154	0	0	0	0	0	0	0	0
0	39	0	0	0	0	0	0	0	0	0	0	0
0	39	0	20	361	0	18	3	3	6	6	12	7
0	39	0	17	137	0	1	0	1	0	0	0	0
0	39	0	23	145	0	7	2	1	1	3	2	1
0	39	0	24	1141	0	67	11	5	29	22	31	38
0	39	0	26	401	0	45	6	7	11	21	11	8
0	39	0	27	280	0	42	6	5	15	16	3	5
0	39	0	30	1919	0	166	18	20	65	63	70	71
0	39	0	32	154	0	0	0	0	0	0	0	0
0	40	0	0	0	0	0	0	0	0	0	0	0
0	40	0	20	361	0	19	2	3	7	7	10	16
0	40	0	17	137	0	2	1	0	0	1	0	0
0	40	0	23	145	0	11	2	2	3	4	3	3
0	40	0	24	1141	0	71	4	12	32	23	46	42
0	40	0	26	401	0	39	6	2	12	19	16	11
0	40	0	27	280	0	41	4	4	15	18	9	9
0	40	0	30	1919	0	184	24	21	73	66	81	68
0	40	0	32	154	0	0	0	0	0	0	0	0
0	41	0	0	0	0	0	0	0	0	0	0	0
0	41	0	20	361	0	22	3	3	9	7	12	15
0	41	0	17	137	0	4	2	0	1	1	0	2
0	41	0	23	145	0	15	4	2	4	5	4	6
0	41	0	24	1141	0	80	12	17	29	22	32	41
0	41	0	26	401	0	35	4	3	13	15	10	10
0	41	0	27	280	0	40	5	3	14	18	9	8
0	41	0	30	1919	0	174	29	18	65	62	66	48
0	41	0	32	154	0	0	0	0	0	0	0	0
0	42	0	0	0	0	0	0	0	0	0	0	0
0	42	0	20	361	0	24	3	6	9	6	6	14
0	42	0	17	137	0	9	1	4	3	1	2	7
0	42	0	23	145	0	17	4	4	4	5	1	3
0	42	0	24	1141	0	82	12	16	29	25	50	35
0	42	0	26	401	0	32	3	4	13	12	12	10
0	42	0	27	280	0	36	6	2	13	15	6	8
0	42	0	30	1919	0	161	15	10	74	62	89	67
0	42	0	32	154	0	0	0	0	0	0	0	0
0	43	0	0	0	0	0	0	0	0	0	0	0
0	43	0	20	361	0	21	0	5	9	7	7	6
0	43	0	17	137	0	15	4	5	3	3	1	0
0	43	0	23	145	0	17	3	1	5	8	3	4
0	43	0	24	1141	0	92	15	13	32	32	33	33
0	43	0	26	401	0	28	1	5	10	12	12	13
0	43	0	27	280	0	33	1	5	16	11	16	12
0	43	0	30	1919	0	166	25	17	67	57	64	85
0	43	0	32	154	0	0	0	0	0	0	0	0
0	44	0	0	0	0	0	0	0	0	0	0	0
0	44	0	20	361	0	28	5	7	7	9	8	11
0	44	0	17	137	0	9	0	0	5	4	8	4
0	44	0	23	145	0	17	2	3	4	8	4	0
0	44	0	24	1141	0	93	7	13	37	36	48	36
0	44	0	26	401	0	32	5	7	9	11	9	5
0	44	0	27	280	0	36	9	6	11	10	3	7
0	44	0	30	1919	0	166	20	30	62	54	67	61
0	44	0	32	154	0	0	0	0	0	0	0	0
0	45	0	0	0	0	0	0	0	0	0	0	0
0	45	0	20	361	0	35	8	5	9	13	7	10
0	45	0	17	137	0	10	3	1	5	1	8	6
0	45	0	23	145	0	17	1	1	6	9	5	6
0	45	0	24	1141	0	98	20	11	33	34	38	50
0	45	0	26	401	0	34	8	2	10	14	11	14
0	45	0	27	280	0	37	7	3	17	10	8	9
0	45	0	30	1919	0	167	26	23	61	57	63	62
0	45	0	32	154	0	0	0	0	0	0	0	0
0	46	0	0	0	0	0	0	0	0	0	0	0
0	46	0	20	361	0	24	1	1	9	13	18	12
0	46	0	17	137	0	9	1	1	5	2	7	7
0	46	0	23	145	0	23	5	3	6	9	4	3
0	46	0	24	1141	0	96	8	18	41	29	44	35
0	46	0	26	401	0	43	9	8	13	13	7	17
0	46	0	27	280	0	31	4	1	17	9	7	16
0	46	0	30	1919	0	166	21	23	59	63	57	63
0	46	0	32	154	0	0	0	0	0	0	0	0
0	47	0	0	0	0	0	0	0	0	0	0	0
0	47	0	20	361	0	26	8	0	9	9	3	12
0	47	0	15	694	0	1	1	0	0	0	0	0
0	47	0	17	137	0	13	3	4	4	2	3	5
0	47	0	23	145	0	19	0	3	10	6	7	7
0	47	0	24	1141	0	91	12	8	38	33	56	60
0	47	0	26	401	0	44	4	11	16	13	18	8
0	47	0	27	280	0	32	2	7	14	9	9	11
0	47	0	30	1919	0	172	14	21	70	67	69	68
0	47	0	32	154	0	0	0	0	0	0	0	0
0	48	0	0	0	0	0	0	0	0	0	0	0
0	48	0	20	361	0	29	4	5	11	9	12	11
0	48	0	15	694	0	1	0	0	1	0	0	0
0	48	0	17	137	0	9	0	1	3	5	3	3
0	48	0	23	145	0	18	2	2	8	6	5	7
0	48	0	24	1141	0	108	18	19	37	34	38	41
0	48	0	26	401	0	40	4	7	14	15	12	12
0	48	0	27	280	0	36	6	5	12	13	7	6
0	48	0	30	1919	0	180	18	27	64	71	77	60
0	48	0	32	154	0	1	0	1	0	0	0	0
0	49	0	0	0	0	0	0	0	0	0	0	0
0	49	0	20	361	0	31	6	4	12	9	13	13
0	49	0	15	694	0	1	0	0	1	0	0	0
0	49	0	17	137	0	10	1	1	2	6	3	1
0	49	0	23	145	0	17	4	2	7	4	7	8
0	49	0	24	1141	0	106	10	11	44	41	36	37
0	49	0	26	401	0	38	3	4	15	16	10	16
0	49	0	27	280	0	37	4	3	16	14	10	10
0	49	0	30	1919	0	181	27	18	62	74	68	62
0	49	0	32	154	0	2	0	1	0	1	0	0
0	50	0	0	0	0	0	0	0	0	0	0	0
0	50	0	20	361	0	35	6	3	15	11	16	6
0	50	0	15	694	0	1	0	0	1	0	0	0
0	50	0	17	137	0	11	1	1	2	7	0	0
0	50	0	23	145	0	19	2	4	8	5	3	10
0	50	0	24	1141	0	112	13	15	42	42	39	41
0	50	0	26	401	0	28	1	4	12	11	12	12
0	50	0	27	280	0	36	8	5	13	10	12	11
0	50	0	30	1919	0	180	19	19	73	69	76	77
0	50	0	32	154	0	2	0	0	0	2	0	0
0	51	0	0	0	0	0	0	0	0	0	0	0
0	51	0	20	361	0	30	2	0	19	9	22	20
0	51	0	15	694	0	2	2	0	0	0	0	0
0	51	0	17	137	0	9	1	1	3	4	5	7
0	51	0	23	145	0	25	2	6	9	8	8	6
0	51	0	24	1141	0	108	11	11	44	42	52	44
0	51	0	26	401	0	25	3	5	8	9	10	13
0	51	0	27	280	0	34	4	5	16	9	11	10
0	51	0	30	1919	0	177	18	24	69	66	70	67
0	51	0	32	154	0	2	0	0	0	2	0	0
0	52	0	0	0	0	0	0	0	0	0	0	0
0	52	0	20	361	0	39	7	5	18	9	14	11
0	52	0	15	694	0	4	1	2	1	0	0	0
0	52	0	17	137	0	14	2	5	3	4	3	2
0	52	0	23	145	0	21	2	2	7	10	3	1
0	52	0	24	1141	0	113	18	17	39	39	38	38
0	52	0	26	401	0	24	6	3	9	6	20	15
0	52	0	27	280	0	41	8	7	15	11	7	8
0	52	0	30	1919	0	186	18	23	73	72	61	61
0	52	0	32	154	0	3	0	1	0	2	0	0
0	53	0	0	0	0	0	0	0	0	0	0	0
0	53	0	20	361	0	39	2	4	23	10	17	17
0	53	0	15	694	0	4	1	0	2	1	6	6
0	53	0	17	137	0	13	0	1	4	8	5	2
0	53	0	23	145	0	19	1	2	5	11	5	6
0	53	0	24	1141	0	111	14	12	39	46	37	29
0	53	0	26	401	0	28	5	3	11	9	13	10
0	53	0	27	280	0	43	4	6	17	16	13	9
0	53	0	30	1919	0	177	15	17	74	71	66	64
0	53	0	32	154	0	5	2	0	0	3	0	0
0	54	0	0	0	0	0	0	0	0	0	0	0
0	54	0	20	361	0	40	4	4	20	12	14	19
0	54	0	15	694	0	14	6	5	2	1	4	3
0	54	0	17	137	0	15	1	2	4	8	2	5
0	54	0	23	145	0	22	4	1	6	11	4	4
0	54	0	24	1141	0	108	17	12	39	40	48	36
0	54	0	26	401	0	25	5	4	9	7	5	14
0	54	0	27	280	0	41	6	2	15	18	11	10
0	54	0	30	1919	0	173	20	13	69	71	85	73
0	54	0	32	154	0	5	1	0	1	3	1	0
0	55	0	0	0	0	0	0	0	0	0	0	0
0	55	0	20	361	0	37	4	4	16	13	18	17
0	55	0	15	694	0	15	3	1	6	5	14	10
0	55	0	17	137	0	16	2	2	4	8	3	4
0	55	0	23	145	0	17	3	1	6	7	3	3
0	55	0	24	1141	0	110	13	14	41	42	39	47
0	55	0	26	401	0	28	5	4	10	9	14	19
0	55	0	27	280	0	50	12	5	17	16	6	2
0	55	0	30	1919	0	174	23	21	68	62	73	67
0	55	0	32	154	0	6	1	1	1	3	3	4
0	56	0	0	0	0	0	0	0	0	0	0	0
0	56	0	20	361	0	40	6	4	16	14	16	13
0	56	0	15	694	0	26	9	6	8	3	11	12
0	56	0	17	137	0	14	2	3	4	5	2	6
0	56	0	23	145	0	18	4	1	7	6	9	3
0	56	0	24	1141	0	112	14	12	40	46	34	44
0	56	0	26	401	0	37	10	5	11	11	11	14
0	56	0	27	280	0	41	4	3	21	13	13	13
0	56	0	30	1919	0	172	19	21	69	63	76	88
0	56	0	32	154	0	12	4	4	2	2	5	0
0	57	0	0	0	0	0	0	0	0	0	0	0
0	57	0	20	361	0	44	7	4	16	17	7	15
0	57	0	15	694	0	35	6	6	14	9	31	22
0	57	0	17	137	0	16	1	2	5	8	3	5
0	57	0	23	145	0	20	4	3	9	4	9	7
0	57	0	24	1141	0	105	11	11	39	44	52	33
0	57	0	26	401	0	36	7	6	15	8	12	14
0	57	0	27	280	0	39	6	3	20	10	15	15
0	57	0	30	1919	0	183	19	27	72	65	78	59
0	57	0	32	154	0	10	4	1	3	2	2	5
0	58	0	0	0	0	0	0	0	0	0	0	0
0	58	0	20	361	0	44	3	4	21	16	13	17
0	58	0	15	694	0	49	11	10	15	13	22	13
0	58	0	17	137	0	17	1	2	6	8	9	2
0	58	0	23	145	0	25	5	7	10	3	1	1
0	58	0	24	1141	0	115	21	13	40	41	43	33
0	58	0	26	401	0	39	5	7	16	11	12	17
0	58	0	27	280	0	41	7	5	18	11	10	9
0	58	0	30	1919	0	190	34	17	68	71	71	69
0	58	0	32	154	0	11	0	2	6	3	6	7
0	59	0	0	0	0	0	0	0	0	0	0	0
0	59	0	20	361	0	39	4	2	19	14	12	18
0	59	0	15	694	0	51	10	6	16	19	23	12
0	59	0	17	137	0	20	6	1	6	7	3	3
0	59	0	23	145	0	20	1	3	9	7	8	3
0	59	0	24	1141	0	113	11	14	49	39	44	51
0	59	0	26	401	0	36	3	5	17	11	12	19
0	59	0	27	280	0	40	6	7	15	12	7	7
0	59	0	30	1919	0	184	32	16	72	64	58	70
0	59	0	32	154	0	15	3	2	5	5	4	2
0	60	0	0	0	0	0	0	0	0	0	0	0
0	60	0	20	361	0	34	3	2	19	10	14	16
0	60	0	15	694	0	48	8	3	17	20	15	26
0	60	0	17	137	0	22	3	5	10	4	7	5
0	60	0	23	145	0	23	4	2	8	9	5	4
0	60	0	24	1141	0	112	14	14	46	38	42	46
0	60	0	26	401	0	44	5	6	17	16	11	17
0	60	0	27	280	0	37	6	4	16	11	8	11
0	60	0	30	1919	0	170	19	12	77	62	83	78
0	60	0	32	154	0	16	0	1	8	7	6	6
0	61	0	0	0	0	0	0	0	0	0	0	0
0	61	0	20	361	0	33	5	2	16	10	13	16
0	61	0	15	694	0	49	4	9	19	17	22	25
0	61	0	17	137	0	26	4	5	10	7	3	0
0	61	0	23	145	0	21	5	0	10	6	7	5
0	61	0	24	1141	0	123	12	19	50	42	39	33
0	61	0	26	401	0	43	3	6	15	19	12	13
0	61	0	27	280	0	41	5	7	19	10	10	9
0	61	0	30	1919	0	173	27	22	71	53	86	68
0	61	0	32	154	0	16	2	1	7	6	4	0
0	62	0	0	0	0	0	0	0	0	0	0	0
0	62	0	20	361	0	39	7	4	17	11	18	14
0	62	0	15	694	0	52	8	9	17	18	23	23
0	62	0	17	137	0	28	6	1	12	9	6	4
0	62	0	23	145	0	22	1	2	13	6	4	7
0	62	0	24	1141	0	125	12	17	51	45	48	45
0	62	0	26	401	0	44	2	5	16	21	14	18
0	62	0	27	280	0	44	8	6	19	11	8	7
0	62	0	30	1919	0	174	27	19	74	54	72	71
0	62	0	32	154	0	14	3	0	5	6	7	5
0	63	0	0	0	0	0	0	0	0	0	0	0
0	63	0	20	361	0	36	5	1	18	12	21	14
0	63	0	15	694	0	56	7	6	18	25	24	12
0	63	0	17	137	0	32	3	4	16	9	7	1
0	63	0	18	172	0	2	1	1	0	0	0	0
0	63	0	23	145	0	17	0	5	6	6	2	5
0	63	0	24	1141	0	123	12	14	46	51	45	38
0	63	0	26	401	0	49	7	8	13	21	9	8
0	63	0	27	280	0	44	6	4	20	14	9	7
0	63	0	30	1919	0	179	21	20	79	59	72	75
0	63	0	32	154	0	18	2	2	8	6	3	8
0	64	0	0	0	0	0	0	0	0	0	0	0
0	64	0	20	361	0	42	7	1	21	13	15	19
0	64	0	15	694	0	55	11	2	15	27	23	19
0	64	0	17	137	0	30	5	3	13	9	1	3
0	64	0	18	172	0	2	1	0	1	0	0	0
0	64	0	23	145	0	15	2	3	4	6	4	2
0	64	0	24	1141	0	125	19	14	44	48	34	26
0	64	0	26	401	0	45	1	6	16	22	20	15
0	64	0	27	280	0	47	9	3	22	13	13	15
0	64	0	30	1919	0	175	16	20	82	57	73	89
0	64	0	32	154	0	20	2	4	8	6	7	4
0	65	0	0	0	0	0	0	0	0	0	0	0
0	65	0	20	361	0	47	9	3	24	11	21	12
0	65	0	15	694	0	55	6	8	19	22	33	21
0	65	0	17	137	0	27	1	1	14	11	5	4
0	65	0	18	172	0	2	0	0	2	0	0	0
0	65	0	23	145	0	14	4	0	4	6	5	2
0	65	0	24	1141	0	107	12	5	46	44	29	59
0	65	0	26	401	0	50	7	6	15	22	10	12
0	65	0	27	280	0	45	7	5	21	12	9	14
0	65	0	30	1919	0	187	25	25	78	59	74	69
0	65	0	32	154	0	18	2	0	9	7	7	9
0	66	0	0	0	0	0	0	0	0	0	0	0
0	66	0	20	361	0	51	4	4	30	13	25	20
0	66	0	15	694	0	53	7	9	18	19	25	21
0	66	0	17	137	0	32	7	4	12	9	3	5
0	66	0	18	172	0	1	0	0	1	0	0	0
0	66	0	23	145	0	14	4	2	5	3	4	7
0	66	0	24	1141	0	105	8	19	41	37	52	45
0	66	0	26	401	0	51	3	8	17	23	10	17
0	66	0	27	280	0	41	1	6	22	12	14	19
0	66	0	30	1919	0	182	16	27	78	61	80	73
0	66	0	32	154	0	17	2	0	8	7	7	5
0	67	0	0	0	0	0	0	0	0	0	0	0
0	67	0	20	361	0	59	8	8	29	14	9	18
0	67	0	15	694	0	53	8	9	18	18	25	25
0	67	0	17	137	0	32	6	5	10	11	2	4
0	67	0	18	172	0	1	0	0	1	0	0	0
0	67	0	23	145	0	21	4	4	8	5	6	3
0	67	0	24	1141	0	98	16	11	34	37	35	33
0	67	0	26	401	0	46	4	4	15	23	7	17
0	67	0	27	280	0	43	3	9	19	12	8	9
0	67	0	30	1919	0	197	32	25	77	63	81	66
0	67	0	32	154	0	19	4	2	9	4	11	11
0	68	0	0	0	0	0	0	0	0	0	0	0
0	68	0	20	361	0	51	2	9	28	12	15	12
0	68	0	15	694	0	54	9	8	19	18	19	17
0	68	0	17	137	0	33	5	4	12	12	3	9
0	68	0	18	172	0	1	0	0	1	0	0	0
0	68	0	23	145	0	16	4	3	5	4	2	0
0	68	0	24	1141	0	100	12	11	41	36	49	45
0	68	0	26	401	0	42	4	6	11	21	10	11
0	68	0	27	280	0	39	3	4	17	15	7	9
0	68	0	30	1919	0	198	30	20	88	60	76	57
0	68	0	32	154	0	18	4	5	8	1	11	6
0	69	0	0	0	0	0	0	0	0	0	0	0
0	69	0	20	361	0	53	8	7	24	14	9	16
0	69	0	15	694	0	59	6	10	22	21	19	28
0	69	0	17	137	0	32	2	4	13	13	7	3
0	69	0	18	172	0	1	0	0	1	0	0	0
0	69	0	23	145	0	18	2	1	8	7	9	6
0	69	0	24	1141	0	110	17	16	41	36	47	46
0	69	0	26	401	0	36	2	2	11	21	11	8
0	69	0	27	280	0	41	3	4	16	18	9	12
0	69	0	30	1919	0	178	24	17	80	57	92	80
0	69	0	32	154	0	18	4	2	8	4	7	4
0	70	0	0	0	0	0	0	0	0	0	0	0
0	70	0	20	361	0	49	3	4	24	18	14	14
0	70	0	15	694	0	53	5	12	19	17	23	22
0	70	0	17	137	0	30	1	2	14	13	1	3
0	70	0	18	172	0	2	0	1	1	0	0	0
0	70	0	23	145	0	17	1	3	6	7	5	3
0	70	0	24	1141	0	109	12	16	45	36	47	56
0	70	0	26	401	0	34	6	4	10	14	9	10
